Jeff Adrien,25,HOU,8,21
Arron Afflalo,26,DEN,62,943
Blake Ahearn,27,UTA,4,10
Solomon Alabi,23,TOR,14,33
Cole Aldrich,23,OKC,26,57
LaMarcus Aldridge,26,POR,55,1191
Lavoy Allen,22,PHI,41,169
Ray Allen,36,BOS,46,655
Tony Allen,30,MEM,58,568
Morris Almond,26,WAS,4,14
Al-Farouq Aminu,21,NOH,66,399
Louis Amundson,29,IND,60,213
Chris Andersen,33,DEN,32,168
Alan Anderson,29,TOR,17,163
James Anderson,22,SAS,51,190
Ryan Anderson,23,ORL,61,980
Carmelo Anthony,27,NYK,55,1245
Joel Anthony,29,MIA,64,219
Gilbert Arenas,30,MEM,17,72
Trevor Ariza,26,NOH,41,444
Omer Asik,25,CHI,66,205
D.J. Augustin,24,CHA,48,532
Gustavo Ayon,26,NOH,54,319
Kelenna Azubuike,28,DAL,3,7
Luke Babbitt,22,POR,40,202
Renaldo Balkman,27,NYK,14,42
Leandro Barbosa,29,TOR,42,512
Jose Barea,27,MIN,41,463
Andrea Bargnani,26,TOR,31,603
Matt Barnes,31,LAL,63,491
Earl Barron,30,GSW,2,4
Brandon Bass,26,BOS,59,738
Tony Battie,35,PHI,27,42
Shane Battier,33,MIA,65,311
Nicolas Batum,23,POR,59,818
Jerryd Bayless,23,TOR,31,353
Michael Beasley,23,MIN,47,541
Rodrigue Beaubois,23,DAL,53,472
Marco Belinelli,25,NOH,66,780
Raja Bell,35,UTA,34,217
Keith Benson,23,GSW,3,0
Mike Bibby,33,NYK,39,103
Andris Biedrins,25,GSW,47,79
Chauncey Billups,35,LAC,20,299
Bismack Biyombo,19,CHA,63,327
DeJuan Blair,22,SAS,64,611
Steve Blake,31,LAL,53,276
Andray Blatche,25,WAS,26,221
Eric Bledsoe,22,LAC,40,132
Keith Bogans,31,NJN,5,21
Andrew Bogut,27,MIL,12,136
Matt Bonner,31,SAS,65,429
Trevor Booker,24,WAS,50,419
Carlos Boozer,30,CHI,66,991
Chris Bosh,27,MIA,57,1025
Earl Boykins,35,HOU,8,39
Craig Brackins,24,PHI,14,22
Avery Bradley,21,BOS,64,484
Elton Brand,32,PHI,60,659
Corey Brewer,25,DEN,59,525
Ronnie Brewer,26,CHI,66,455
Jon Brockman,24,MIL,35,37
MarShon Brooks,23,NJN,56,708
Derrick Brown,24,CHA,65,524
Kwame Brown,29,GSW,9,57
Shannon Brown,26,PHO,59,650
Kobe Bryant,33,LAL,58,1616
Chase Budinger,23,HOU,58,558
Alec Burks,20,UTA,59,425
Caron Butler,31,LAC,63,753
Jimmy Butler,22,CHI,42,109
Rasual Butler,32,TOR,34,110
Derrick Byars,27,SAS,2,10
Andrew Bynum,24,LAL,60,1123
Will Bynum,29,DET,36,204
Jose Calderon,30,TOR,53,555
Marcus Camby,37,POR,40,152
Brian Cardinal,34,DAL,44,43
DeMarre Carroll,25,DEN,4,12
Matt Carroll,31,CHA,53,142
Anthony Carter,36,TOR,24,47
Vince Carter,35,DAL,61,615
Omri Casspi,23,CLE,65,459
Mario Chalmers,25,MIA,64,627
Tyson Chandler,29,NYK,62,699
Wilson Chandler,24,DEN,8,75
Josh Childress,28,PHO,34,100
Earl Clark,24,ORL,45,123
Norris Cole,23,MIA,65,441
Jason Collins,33,ATL,30,39
Darren Collison,24,IND,60,621
Nick Collison,31,OKC,63,284
Mike Conley,24,MEM,62,788
Brian Cook,31,LAC,16,31
Daequan Cook,24,OKC,57,311
DeMarcus Cousins,21,SAC,64,1160
Jamal Crawford,31,POR,60,837
Jordan Crawford,23,WAS,64,938
Dante Cunningham,24,MEM,64,333
Eddy Curry,29,MIA,14,30
Stephen Curry,23,GSW,26,383
Samuel Dalembert,30,HOU,65,490
Erick Dampier,36,ATL,15,2
Marquis Daniels,31,BOS,38,121
Baron Davis,32,NYK,29,178
Ed Davis,22,TOR,66,415
Glen Davis,26,ORL,61,566
Josh Davis,31,MEM,15,28
Eric Dawson,27,SAS,4,15
Austin Daye,23,DET,41,194
Carlos Delfino,29,MIL,54,488
Luol Deng,26,CHI,54,828
Justin Dentmon,26,SAS,2,4
DeMar DeRozan,22,TOR,63,1054
Boris Diaw,29,CHA,37,272
Ike Diogu,28,SAS,2,2
DeSagana Diop,30,CHA,27,31
Keyon Dooling,31,BOS,46,182
Toney Douglas,25,NYK,38,237
Goran Dragic,25,HOU,66,775
Jared Dudley,26,PHO,65,823
Chris Duhon,29,ORL,63,237
Tim Duncan,35,SAS,58,895
Mike Dunleavy,31,MIL,55,677
Kevin Durant,23,OKC,66,1850
Jerome Dyson,24,NOH,9,67
Devin Ebanks,22,LAL,24,97
Wayne Ellington,24,MIN,51,311
Monta Ellis,26,GSW,37,811
